酒店名称,地址,评分,价格,评价
嘉年CEO酒店(成都天府三街福年广场店),舒适型_成都武侯区天府大道中段天府三街吉泰路666号福年广场,4.4,304,"住宿体验很好,唯一的美中不足，非常满意,前台服务一流"
晶品公寓(成都春熙路太古里店),舒适型_成都锦江区下东大街200号喜年广场B座18楼,4.2,187,"地理位置优越,吃饭很方便,购物也方便，地理位置很好,吃饭很方便,购物也方便"
CoCo格调酒店(成都金楠天街龙爪堰地铁站店),舒适型_成都武侯区龙安街12号,4.7,224,"位置也特别好,门口就是地铁站，其次店内服务好,前台妹妹热情洋溢"
索菲斯锦苑宾馆(成都春熙路文殊院店),豪华型_成都青羊区人民中路三段22号,4.8,488,"距离地铁站非常近,出行非常方便，酒店服务真的很棒"
金沙大酒店(成都建设路店),舒适型_成都成华区建设路2号,4.6,127,"房间空间大,很干净,定房包含了饮料咖啡，隔音非常好"
好莱斯登酒店(成都火车东站成渝立交地铁站店),舒适型_成都成华区万科魅力之城和美东路61-63号,4.5,128,"有天窗,干净整洁,位置也很好找，好的,物美价廉,设施设备完备的"
锦江之星酒店(成都太古里文殊院地铁站店),经济型_成都青羊区银丝街3号,4.6,113,"也很安静，暑期的这个价格,个人觉得炒鸡性价比了"
四川锦江宾馆,五星级_成都锦江区人民南路二段80号-1,4.7,541,"不愧成都市第一家五星宾馆,服务周到热情，的确不愧为老牌五星酒店,地理位置极佳"
成都望江宾馆,五星级_成都锦江区下沙河铺42号,4.8,638,"这家酒店很好，酒店周边环境非常优美,酒店早餐种类丰富"
威斯凯尔酒店(成都火车南站店),舒适型_成都武侯区广和二街62号,4.6,312,"房间宽敞、干净,服务热情,停车也很方便，卫生不错,出差住很合适,前台服务也很好"
成都仁和春天酒店,豪华型_成都青羊区二环路西二段19号,4.8,847,"住了三天,房间打扫得非常干净，总之是非常好的一次入住"
成都高新亚朵酒店,高档型_成都武侯区天府四街66号,4.8,404,"这个价性价比非常高,也很满意,我不是托，宾至如归的感觉,停车也很方便,早餐棒"
成都馨园度假短租公寓,舒适型_成都锦江区庆云南街69号红星国际小区内4号楼710,4.7,160,"交通方便,房间整洁,空间大,舒适，不错,离地铁很近,老板娘很好"
立盛益家酒店(成都迎宾店),高档型_成都金牛区迎宾大道123号,4.6,203,"这家酒店交通便利,离地铁近，酒店相当的大,离地铁站几分钟吧"
笑脸里·好久不见青年旅舍(成都宽窄巷子店),舒适型_成都金牛区永陵路15号,4.8,97,"距离景点也非常近,酒店设施齐全，前台琪琪态度好,整体来说很是满意的哦"
成都锦尚花酒店(宽窄巷子店),舒适型_成都青羊区东城根下街71号,4.6,159,离地铁、特产街和宽窄巷近，感觉像以前八九十年代的老招待所似的
成都索菲斯民族大酒店(宽窄巷子抚琴地铁站店),高档型_成都金牛区永陵路9号,4.7,367,"房间很大,床也很大,真棒,睡觉安静，说说真实感受,地理位置离抚琴夜市很近"
维也纳智好酒店(成都武侯祠华西医院店),舒适型_成都武侯区浆洗街12号,3.6,130,"客服小哥哥人很好???，总体很棒,下次还会再来入住"
锦江之星酒店(成都春熙路太古里店),经济型_成都锦江区东风路15号附10号B栋,4.4,88,"?酒店性价比很高,房间非常干净，房间很干净卫生,交通位置便利,推荐入住"
凤凰御庭酒店(成都春熙路太古里店),舒适型_成都锦江区春熙路新街后巷子3号,4.5,136,"前台小姐姐非常热情服务，态度真的非常好,没有一点不耐烦"
成都鱼凫国都温泉大酒店,高档型_成都温江区温泉大道四段,4.5,845,"这家酒店也太好了吧,大厅富丽堂皇，周边交通有点不便"
成都保利公园皇冠假日酒店(熊猫基地店),豪华型_成都新都区蜀龙大道皇冠路168号,4.7,608,"这家酒店离熊猫基地很近，酒店非常不错,各方面服务都细致周到"
印主题城市别墅(成都大悦城武侯大道地铁口店),舒适型_成都武侯区武侯大道双楠段112号武侯庭院A37,4.9,635,"安静适合休息,地处小区内部,安全性很高，环境优美,服务态度好酒店非常不错"
如家酒店·neo(成都春熙路太古里书院街店),经济型_成都锦江区书院西街75号,4.4,113,"非常喜欢这家酒店，影响不大,热水很足,服务很好?"
蜀汇千寻公寓(成都红星国际店),舒适型_成都锦江区庆云南街69号红星国际7号21楼2107号,4.8,118,"房间很宽敞,有阳台可以晾晒衣服，很不错,性价比高"
成都尼依格罗酒店,豪华型_成都锦江区红星路三段1号国际金融中心3号楼,4.8,1385,很惊叹超好的位置超好的服务，吃喝玩乐特别方便
成都奥汀花园酒店,高档型_成都青羊区清江东路3号,4.3,232,"非常舒服,价格也还是比较实惠，老酒店~布置很温馨"
如家酒店(成都春熙路步行街店),经济型_成都锦江区总府路18号北新街8号春熙商汇广场1楼,4.3,77,"位置好,去哪儿都方便,卫生干净，卫生干净,就是洗澡热水不太好"
尚锦品酒店(春熙路东郊记忆店),四星级_成都成华区府青路二段24号,4.8,152,环境很不错去哪都很方便，很满意的一次入住
成都吾桐里国际青年旅舍(青羊宫省骨科医院地铁站店),舒适型_成都青羊区大石东路11号附8号,4.5,35,"位置交通，房间空间很高,单人床很不错"
如家酒店·neo(成都骡马市地铁站店),经济型_成都青羊区西玉龙街小福建营巷7号,4.6,96,"还不错的,有停车的地方,早餐种类丰富，卫生:干净舒适,住的很安心"
嘉好弗斯达酒店(成都人民北路地铁站店),高档型_成都金牛区成华西街8号,4.7,202,"总之非常满意的入住体验,必须好评，第一晚定了个民宿接近200,结果太差了"
西门智选假日酒店(成都宽窄巷子店),高档型_成都金牛区一环路北一段88号,4.8,413,"房间设施齐全,早餐丰富,推荐入住，周边超市小吃都很多,打车也很近"
简悦之家精致酒店(都江堰景区店),舒适型_都江堰建设路天和盛世商业街7栋4楼,4.4,84,"唯一不足就是马桶安放的位置不太合适，很干净,网络也很好,位置也很好"
成都东方广场假日酒店 (春熙路太古里店),豪华型_成都锦江区东大街芷泉段231号,4.5,103,"体验感很好,地理位置非常好，距离地铁2号线简直太近了"
成都峨眉雪芽大酒店,高档型_成都青羊区二环路西二段66号(府南新区路口),4.7,408,"入住很满意安静又有档次服务非常贴心，酒店大堂很清爽,味道香香的"
红旗宾馆,舒适型_成都郫都区高新西区西源大道1199号附2号,4.6,141,"而且床也很软很舒服哦，总体干净整洁,房间空间大,性价比高"
瑞津酒店(成都双流国际机场空港北京华联店),舒适型_成都双流区航空港锦华路二段166号,4.6,174,"性价比很高的民宿,干净卫生，位置不错、出门就是小吃街和商场"
泽润大酒店(成都西南交大地铁站店),舒适型_成都金牛区二环路北一段2号,4.4,268,"相当满意,旅游来成都提前在网上预定好了，交通便利,房间不是很新但比较干净"
成都空港机场酒店,舒适型_成都双流区西航港大道中二段666号天鹅度假村28栋,4.7,120,"总之,这家酒店凭借其齐全的设施，入住体验很赞,房间视线好,安逸舒适"
成都米嘉短租公寓,舒适型_成都锦江区红星路二段庆云南街69号红星国际7号楼2310,4.7,152,"房间服务都很好,干净整洁，总的来说还不错,各方面都还是令人满意的"
如家酒店·neo(成都新南门地铁站店),经济型_成都武侯区新南门南台路8号,4.4,85,"挺好的,隔音不错,价格优惠,房间不大，看了许多酒店最终选择它"
都江堰百伦国际酒店,豪华型_都江堰都江堰大道211号,4.8,170,"位置就在商场旁,离市区景点也很近，酒店环境很好、干净无异味早餐也很好"
成都佳莱雅公寓(天府广场春熙路店),舒适型_成都锦江区梨花街12号城市理想A座2105,4.4,232,"非常温馨的公寓酒店,出行方便，出去陪游玩很方便,值得推荐"
